"Main_gene_name","frequency"
"SEMA3A",10
"SLC22A12",10
"SLC46A1",10
"SLC52A2",10
"SLC52A3",10
"SPATA5",10
"TEK",10
"TGFB1",10
"TOE1",10
"TRIO",10
"TRPC6",10
"TTN",10
"WNT10A",10
"ZIC3",10
"ACAD8",9
"ACSF3",9
"ACTN2",9
"ADGRG1",9
"AMH",9
"APTX",9
"ARG1",9
"ARSL",9
"ARX",9
"ATP13A2",9
"ATP1A2",9
"ATP6V1B1",9
"B3GALT6",9
"BBS4",9
"BTD",9
"CCN6",9
"CDAN1",9
"CDKN3",9
"CLN3",9
"CTC1",9
"CYB5R3",9
"DDC",9
"EBF3",9
"EBP",9
"EDNRB",9
"EIF2B2",9
"ETHE1",9
"EXT2",9
"FAM20C",9
"GABRB3",9
"GATA5",9
"GBE1",9
"GJA8",9
"GP1BA",9
"HEXB",9
"HOXD13",9
"IFIH1",9
"KCNE1",9
"LAMB2",9
"MAX",9
"MBTPS2",9
"MC2R",9
"MLH3",9
"NALCN",9
"NLRP7",9
"PC",9
"PCSK9",9
"PFKM",9
"PGK1",9
"PMS2",9
"POR",9
"POT1",9
"PPA2",9
"PYCR1",9
"RIT1",9
"RRM2B",9
"SAMD9",9
"SCN11A",9
"SCO2",9
"SIAE",9
"SLC25A4",9
"SLC26A2",9
"SLC34A1",9
"SLC39A4",9
"STK11",9
"TBX5",9
"THBD",9
"TTC7A",9
"UBQLN2",9
"ACP5",8
"ACTN4",8
"ACVR1",8
"AICDA",8
"ALDH7A1",8
"AMHR2",8
"APRT",8
"BLM",8
"BMPR1A",8
"CALM2",8
"CLCN2",8
"CLRN1",8
"CNGB3",8
"COL11A1",8
"COL4A4",8
"COQ8B",8
"CYP4V2",8
"DARS1",8
"DSPP",8
"FARSB",8
"FBXO11",8
"FGG",8
"FLVCR2",8
"FMO3",8
"FN1",8
"FXN",8
"GALNT12",8
"GGCX",8
"HARS1",8
"IFT172",8
"IGFALS",8
"KCNJ10",8
"KCTD1",8
"KRT86",8
"L2HGDH",8
"MARS1",8
"MMP21",8
"MTTP",8
"NBEAL2",8
"NT5C3A",8
"PDE6C",8
